Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Nigeria,NGA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8.81,..,..,..,..,10.79,..,..,..,..,11.06,..,..,..,..,..,..,..,..,..,..
Oman,OMN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.02,..,..,..,..,5.5,..,..,..,..,1.97,..,..,..,..,..,..,..,..,..,..
Palau,PLW,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,PAN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.17,..,..,..,..,5.12,..,..,..,..,4.98,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,PNG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.29,..,..,..,..,0.36,..,..,..,..,0.42,..,..,..,..,..,..,..,..,..,..
Paraguay,PRY,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.05,..,..,..,..,3.53,..,..,..,..,3.95,..,..,..,..,..,..,..,..,..,..
Peru,PER,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.46,..,..,..,..,5.05,..,..,..,..,4.1,..,..,..,..,..,..,..,..,..,..
Philippines,PHL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.29,..,..,..,..,5.48,..,..,..,..,4.39,..,..,..,..,..,..,..,..,..,..
Poland,POL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.87,..,..,..,..,7.86,..,..,..,..,8.38,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.67,..,..,..,..,2.31,..,..,..,..,2.48,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.58,..,..,..,..,1.43,..,..,..,..,3.74,..,..,..,..,..,..,..,..,..,..
Romania,ROU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.62,..,..,..,..,6.98,..,..,..,..,6.94,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.59,..,..,..,..,6.81,..,..,..,..,7.05,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.28,..,..,..,..,0.46,..,..,..,..,0.54,..,..,..,..,..,..,..,..,..,..
Samoa,WSM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
San Marino,SMR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,SAU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.61,..,..,..,..,3.78,..,..,..,..,3.96,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.84,..,..,..,..,0.38,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.29,..,..,..,..,5.09,..,..,..,..,5.15,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.58,..,..,..,..,0.58,..,..,..,..,0.65,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.06,..,..,..,..,5.32,..,..,..,..,2.55,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,10.55,..,..,..,..,11.19,..,..,..,..,11.84,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,10.53,..,..,..,..,10.62,..,..,..,..,10.71,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8.43,..,..,..,..,6.17,..,..,..,..,5.64,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.36,..,..,..,..,11.06,..,..,..,..,6.98,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.83,..,..,..,..,6.36,..,..,..,..,6.57,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,LCA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.51,..,..,..,..,0.55,..,..,..,..,0.64,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.32,..,..,..,..,10.06,..,..,..,..,9.12,..,..,..,..,..,..,..,..,..,..
Switzerland,CHE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6,..,..,..,..,8.43,..,..,..,..,12.92,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.71,..,..,..,..,1.7,..,..,..,..,1.68,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.29,..,..,..,..,7.48,..,..,..,..,7.66,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.57,..,..,..,..,1.58,..,..,..,..,1.59,..,..,..,..,..,..,..,..,..,..
Thailand,THA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.56,..,..,..,..,4.04,..,..,..,..,2.65,..,..,..,..,..,..,..,..,..,..
Timor-Leste,TLS,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,TGO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.78,..,..,..,..,0.82,..,..,..,..,0.81,..,..,..,..,..,..,..,..,..,..
Tonga,TON,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.51,..,..,..,..,6.51,..,..,..,..,7.8,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.29,..,..,..,..,6.77,..,..,..,..,7.13,..,..,..,..,..,..,..,..,..,..
Tunisia,TUN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.69,..,..,..,..,0.8,..,..,..,..,0.92,..,..,..,..,..,..,..,..,..,..
Turkey,TUR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.48,..,..,..,..,2.84,..,..,..,..,2.74,..,..,..,..,..,..,..,..,..,..
Turkmenistan,TKM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.19,..,..,..,..,2.58,..,..,..,..,2.19,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.75,..,..,..,..,7.32,..,..,..,..,7.54,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.95,..,..,..,..,2.25,..,..,..,..,3.24,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.47,..,..,..,..,8.98,..,..,..,..,10.01,..,..,..,..,..,..,..,..,..,..
United States,USA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,12.12,..,..,..,..,11.93,..,..,..,..,12.49,..,..,..,..,..,..,..,..,..,..
Uruguay,URY,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.56,..,..,..,..,7.65,..,..,..,..,5.72,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,VUT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.73,..,..,..,..,2.98,..,..,..,..,3.29,..,..,..,..,..,..,..,..,..,..
Vietnam,VNM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.7,..,..,..,..,4.75,..,..,..,..,6.08,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.02,..,..,..,..,0.02,..,..,..,..,0.02,..,..,..,..,..,..,..,..,..,..
Zambia,ZMB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.31,..,..,..,..,2.34,..,..,..,..,2.36,..,..,..,..,..,..,..,..,..,..
Zimbabwe,ZWE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.27,..,..,..,..,5.32,..,..,..,..,4.23,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Education Statistics: Education Attainment,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/15/2020,,,,,,,,,,,,,,,,,,,,,,,,
