Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Burundi,BDI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.27,..,..,..,..,0.38,..,..,..,..,0.65,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.08,..,..,..,..,1.21,..,..,..,..,1.29,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.86,..,..,..,..,0.98,..,..,..,..,1.35,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,8.61,..,..,..,..,9.41,..,..,..,..,9.75,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.55,..,..,..,..,0.57,..,..,..,..,0.65,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.72,..,..,..,..,6.53,..,..,..,..,6.16,..,..,..,..,..,..,..,..,..,..
China,CHN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.3,..,..,..,..,2.69,..,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.4,..,..,..,..,3.35,..,..,..,..,4.52,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.73,..,..,..,..,0.77,..,..,..,..,1.05,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.5,..,..,..,..,0.52,..,..,..,..,0.96,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.26,..,..,..,..,8.17,..,..,..,..,4.79,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.59,..,..,..,..,0.69,..,..,..,..,0.86,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.81,..,..,..,..,7.96,..,..,..,..,9.01,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.56,..,..,..,..,3.7,..,..,..,..,3.84,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.19,..,..,..,..,4.47,..,..,..,..,5.9,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,12.1,..,..,..,..,12.57,..,..,..,..,12.8,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.66,..,..,..,..,7.28,..,..,..,..,8.01,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.13,..,..,..,..,3.93,..,..,..,..,3.73,..,..,..,..,..,..,..,..,..,..
